COD_CIR;Origen;Destino;Nom_orig;Nom_Des;Km;Res;Reac;tension;proy
LNX-143;SICN-69;SICN-26;Chilca REP 220 kV;Independencia 220 kV;163.4;0.0824;0.4866;220;0
LNX-103;SICN-26;SICN-83;Independencia 220 kV;Aceros 220 kV;24.6;0.083;0.49;220;0
LNE-23A;SICN-26;SICN-25;Independencia 220 kV;Ica 220 kV;55.4;0.083;0.4899;220;0
LNE-23B;SICN-26;SICN-25;Independencia 220 kV;Ica 220 kV;57.1;0.0734;0.4394;220;0
LNX-099;SICN-25;SICN116;Ica 220 kV;Nazca 220 kV;120;0.083;0.49;220;1
LNX-A99;SICN-25;SICN129;Ica 220 kV;Intermedia 220 kV;47;0.083;0.49;220;0
LNX-B99;SICN129;SICN116;Intermedia 220 kV;Nazca 220 kV;73;0.083;0.49;220;0
LNX-100;SICN116;SICN-29;Nazca 220 kV;Marcona 220 kV;65;0.083;0.49;220;1
LNXA100;SICN116;SICN029;Nazca 220 kV;Poroma 220 kV;38;0.083;0.49;220;1
LNXB100;SICN-29;SICN029;Marcona 220 kV;Poroma 220 kV;27;0.083;0.49;220;1
LNE-126;SICN-29;SICN029;Marcona 220 kV;Poroma 220 kV;27;0.0708;0.5027;220;0
LNE-127;SICN-29;SICN029;Marcona 220 kV;Poroma 220 kV;27;0.0708;0.5027;220;0
LNE-037;SICN-28;SICN-22;Mantaro 220 kV;Huancavelica 220 kV;66.5;0.0603;0.5048;220;0
LNE-038;SICN-22;SICN-26;Huancavelica 220 kV;Independencia 220 kV;180.8;0.0603;0.506;220;0
LNE-36A;SICN-28;SICN-22;Mantaro 220 kV;Huancavelica 220 kV;66.5;0.0603;0.5048;220;0
LNE-36C;SICN-22;SIEC-10;Huancavelica 220 kV;Caudalosa 220 kV;72.3;0.0603;0.506;220;0
LNE-36D;SIEC-10;SICN-26;Caudalosa 220 kV;Independencia 220 kV;109.3;0.0603;0.506;220;0
