COD_CIR,Origen,Destino,Nom_orig,Nom_Des,Km,Res,Reac,tension,proy
LNX-221,SICN-78,SICN277,Cajamarca 220 kV,La Quinua 220 kV,10.9,0.0693,0.4957,220,0
LNE-548,SICN-15,SICN131,Chimbote 220 kV,Moche 220 kV,110.01,0.0577,0.4829,220,0
LNE-549,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.0577,0.4829,220,0
LNEa007,SICN-15,SICN154,Chimbote 220 kV,Viru 220 kV,76.3,0.067,0.48,220,0
LNE-546,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.067,0.48,220,0
LNE-547,SICN154,SICN131,Viru 220 kV,Moche 220 kV,37.165,0.067,0.48,220,0
LNE-008,SICN-41,SICN-15,Paramonga 220 kV,Chimbote 220 kV,221.17,0.09,0.48,220,0
LNXa002,SICN-41,SICN041,Paramonga 220 kV,Huarmey 220 kV,84.36,0.09,0.48,220,0
LNXb002,SICN041,SICN-15,Huarmey 220 kV,Chimbote 220 kV,136.81,0.08998,0.48,220,0
LNX-033,SICN-80,SICN-41,Conococha 220 kV,Paramonga 220 kV,92.46,0.0575,0.505,220,0
LNX-c23,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0
LNX-c24,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0
LNX-d23,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0
LNX-d24,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0
LNX-b23,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0
LNX-b24,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0
LNXA025,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0
LNXA026,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0
LNXB025,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0
LNXB026,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0
LNX-226,SICN279,SICN-79,Quitaracsa 220 kV,Kiman Ayllu 220 kV,5.45,0.0634,0.5264,220,0
LNE-409,SICN320,SICN-20,Cheves 220 kV,Huacho 220 kV,75.93,0.0706,0.5228,220,0
LNEa009,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.58,0.073649,0.49541,220,0
LNEb009,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0
LNXa01A,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.68,0.073653,0.495412,220,0
LNXb01A,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0
LNX-074,SICN134,SICN-20,TPCH 220 kV,Huacho 220 kV,77.453,0.075759,0.496356,220,0
LNX-073,SICN-58,SICN134,Zapallal 220 kV,TPCH 220 kV,44.563,0.076393,0.496472,220,0
LNX-083,SICN114,SICN-20,Lomera 220 kV,Huacho 220 kV,48.29,0.0749,0.4962,220,0
LNX-082,SICN-58,SICN114,Zapallal 220 kV,Lomera 220 kV,58.6,0.0749,0.4962,220,0
LNX-186,SICN158,SICN-58,Carabayllo 220 kV,Zapallal 220 kV,10.2,0.0312,0.2813,220,0
