nombre,latitud,longitud,codigo
Planicie 60 kV,-12.088403,-76.842822,SICN019
Manchay 60 kV,-12.10107,-76.86836,SICN284
Moyopampa 60 kV,-11.92815,-76.689702,SICN-31
Santa Rosa LDS 60 kV,-12.039035,-77.011378,SICN-50
Santa Rosa EDN 60 kV,-12.039035,-77.011378,SICN150
Mirador 60 kV,-11.905434,-76.985884,SICN-05
Puente 60 kV,-12.05576,-76.9683,SICN-44
Salamanca 60 kV,-12.07656,-76.9905,SICN-47
Balnearios 60 kV,-12.11233,-76.994835,SICN-03
San Juan 60 kV,-12.177529,-76.973305,SILS-09
Pachacutec 60 kV,-12.186077,-76.942396,SILS-10
Aeropuerto 60 kV,-11.9746,-77.08769,SIED-11
Chavarria 60 kV,-11.997458,-77.065894,SIED-01
Naranjal 60 kV,-11.969778,-77.062565,SIED-02
Oquendo 60 kV,-11.9884,-77.1239,SIED-03
Chillon 60 kV,-11.931491,-77.116864,SIED-04
Puente Piedra 60 kV,-11.869,-77.0683,SIED-05
Huarangal 60 kV,-11.8275,-77.0477,SIED-06
Zapallal 60 kV,-11.827599,-77.047768,SIED-07
Lomera 60 kV,-11.433193,-77.274957,SIED-08
Mirones 60 kV,-12.0446,-77.0654,SIED-09
Barsi 60 kV,-12.047965,-77.104492,SIED-10
Chilca 60 kV,-12.496121,-76.728041,SILS-01
San Bartolo 60 kV,-12.3837,-76.7725,SILS-02
Praderas 60 kV,-12.28889,-76.825681,SILS-03
Bujama 60 kV,-12.7145,-76.6083,SILS-04
Independencia 60 kV,-13.716707,-75.968144,SILS-05
Pueblo Nuevo 60 kV,-13.4545,-76.07275,SILS-06
Marcona 60 kV,-15.204666,-75.177265,SILS-07
Nazca 60 kV,-14.927917,-75.103449,SILS-08
Cobriza 69 kV,-12.35983,-74.65078,SIEC-01
Machahuay 69 kV,-12.597866,-74.38343,SIEC-02
Huanta 69 kV,-12.934971,-74.236313,SIEC-03
Mollepata 69 kV,-13.117651,-74.220465,SIEC-04
Huayucachi 60 kV,-12.132056,-75.224659,SIEC-06
Huancayo 60 kV,-12.06908,-75.217449,SIEC-07
PIndustrial 60 kV,-12.046673,-75.231622,SIEC-08
Orcotuna 60 kV,-11.972957,-75.318186,SIEC-09
Oroya 50 kV,-11.532308,-75.917902,SICN-35
Pzinc 50 kV,-11.528026,-75.896124,SICN-45
Oroya CH 50 kV,-11.51904,-75.91498,SICN-36
Malpaso 50 kV,-11.417689,-76.0355,SICN-27
Carhuamayo 50 kV,-10.929973,-76.057133,SICN-10
Excelsior 50 kV,-10.683391,-76.268397,SICN-16
Paragsha 50 kV,-10.674066,-76.263895,SICN-40
Aguaytia 22.9 kV,-9.030898,-75.493197,SICN-90
Pucallpa 60 kV,-8.400094,-74.615618,SICN-64
Tacna 66 kV,-18.025444,-70.271626,SIS-27
Tomasiri 66 kV,-17.847138,-70.543894,SIS-29
Aricota 66 kV,-17.421109,-70.398466,SIS-03
Pucallpa 220 kV,-8.400094,-74.615618,SICN122
Tarapoto 220 kV,-6.473075,-76.445365,SICN143
Bagua 138 kV,-5.630572,-78.536718,SICN-100
Bagua 220 kV,-5.651968,-78.761639,SICN-101
San Juan 500 kV,-12.177529,-76.973305,SICN224
Lima Norte 500 kV,-12.0085,-77.061998,SICN225
